Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1591893374.341473,10.0.2.15,54300,10.0.2.4,80,tcp,http,13.634867,133,493,SF,8,6,0,81,81,100,0,100,100,100,64,64,1,311,1,65,135,3764.0,5015,4054640644,1614544849
1591893374.341959,10.0.2.15,54302,10.0.2.4,80,tcp,http,13.634383,131,493,SF,8,6,0,82,82,100,0,100,100,100,64,64,1,311,1,64,135,3764.0,5015,3387505310,245423208
1591893374.34249,10.0.2.15,54304,10.0.2.4,80,tcp,http,13.634101,132,493,SF,7,5,0,83,83,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,3818433878,1382467676
1591893374.3431098,10.0.2.15,54306,10.0.2.4,80,tcp,http,13.633557,133,493,SF,7,5,0,84,84,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,4138290252,2486115359
1591893374.3435051,10.0.2.15,54308,10.0.2.4,80,tcp,http,13.637608,132,493,SF,7,5,0,85,85,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,671027570,3603094978
1591893374.3439698,10.0.2.15,54310,10.0.2.4,80,tcp,http,13.637286,133,493,SF,7,5,0,86,86,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2406164460,671869196
1591893374.344443,10.0.2.15,54312,10.0.2.4,80,tcp,http,13.637176,132,493,SF,7,5,0,87,87,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2416626798,3084636502
1591893374.34497,10.0.2.15,54314,10.0.2.4,80,tcp,http,13.636735,133,493,SF,7,5,0,88,88,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,232195463,2464613237
1591893374.345539,10.0.2.15,54316,10.0.2.4,80,tcp,http,13.636248,132,493,SF,7,5,0,89,89,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,271967613,1244101769
1591893374.34645,10.0.2.15,54318,10.0.2.4,80,tcp,http,13.635960,133,493,SF,7,5,0,90,90,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,1018714891,732133012
1591893374.347083,10.0.2.15,54320,10.0.2.4,80,tcp,http,13.635447,133,493,SF,7,5,0,91,91,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,1859736340,1846296082
1591893374.347521,10.0.2.15,54322,10.0.2.4,80,tcp,http,13.635239,132,493,SF,7,5,0,92,92,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2190641498,4010381480
1591893374.347918,10.0.2.15,54324,10.0.2.4,80,tcp,http,13.635066,133,493,SF,7,5,0,93,93,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2136772782,2307952859
1591893374.3482609,10.0.2.15,54326,10.0.2.4,80,tcp,http,13.634904,132,493,SF,7,5,0,94,94,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2326505185,4122675958
1591893374.348683,10.0.2.15,54328,10.0.2.4,80,tcp,http,13.634711,133,493,SF,7,5,0,95,95,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,3842913897,3347239072
1591893374.349195,10.0.2.15,54330,10.0.2.4,80,tcp,http,13.634377,132,493,SF,7,5,0,96,96,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,1843166869,3057430545
1591893374.349673,10.0.2.15,54332,10.0.2.4,80,tcp,http,13.634089,133,493,SF,7,5,0,97,97,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2243872579,1868704732
1591893374.350198,10.0.2.15,54334,10.0.2.4,80,tcp,http,13.633807,133,493,SF,7,5,0,98,98,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,963847101,4177618349
1591893374.350675,10.0.2.15,54336,10.0.2.4,80,tcp,http,13.633516,133,493,SF,7,5,0,99,99,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,3239680661,1347648607
1591893374.351162,10.0.2.15,54338,10.0.2.4,80,tcp,http,13.633136,133,493,SF,7,5,0,100,100,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,2619835190,3973308912
1591893374.351749,10.0.2.15,54340,10.0.2.4,80,tcp,http,13.632650,132,493,SF,7,5,0,100,100,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,993164322,2950068986
1591893374.3522801,10.0.2.15,54342,10.0.2.4,80,tcp,http,13.632217,132,493,SF,7,5,0,100,100,100,0,100,100,100,64,64,1,311,1,68,152,4302.0,5973,593059789,3142894333
